Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots*,12,4,0,.750,444,338,106,6.6,-0.7,5.9,4.5,1.4
New York Jets,8,8,0,.500,290,387,-97,-6.1,0.0,-6.1,-4.7,-1.4
Miami Dolphins,8,8,0,.500,317,335,-18,-1.1,0.3,-0.8,-2.9,2.1
Buffalo Bills,6,10,0,.375,339,388,-49,-3.1,-0.1,-3.2,-1.3,-1.9
Cincinnati Bengals*,11,5,0,.688,430,305,125,7.8,-2.5,5.4,2.3,3.0
Pittsburgh Steelers,8,8,0,.500,379,370,9,0.6,-2.5,-2.0,-0.9,-1.0
Baltimore Ravens,8,8,0,.500,320,352,-32,-2.0,-1.5,-3.5,-5.0,1.4
Cleveland Browns,4,12,0,.250,308,406,-98,-6.1,-1.6,-7.7,-4.8,-2.9
Indianapolis Colts*,11,5,0,.688,391,336,55,3.4,0.6,4.0,1.7,2.3
Tennessee Titans,7,9,0,.438,362,381,-19,-1.2,0.4,-0.8,-0.2,-0.6
Jacksonville Jaguars,4,12,0,.250,247,449,-202,-12.6,1.5,-11.1,-7.1,-4.0
Houston Texans,2,14,0,.125,276,428,-152,-9.5,1.9,-7.6,-5.0,-2.6
Denver Broncos*,13,3,0,.813,606,399,207,12.9,-1.6,11.4,14.1,-2.7
Kansas City Chiefs+,11,5,0,.688,430,305,125,7.8,-1.7,6.1,1.7,4.3
San Diego Chargers+,9,7,0,.563,396,348,48,3.0,-0.3,2.7,0.5,2.1
Oakland Raiders,4,12,0,.250,322,453,-131,-8.2,0.2,-8.0,-3.8,-4.2
Philadelphia Eagles*,10,6,0,.625,442,382,60,3.8,-1.9,1.9,2.3,-0.5
Dallas Cowboys,8,8,0,.500,439,432,7,0.4,-1.1,-0.7,2.7,-3.4
New York Giants,7,9,0,.438,294,383,-89,-5.6,0.2,-5.4,-6.2,0.8
Washington Redskins,3,13,0,.188,334,478,-144,-9.0,-0.3,-9.3,-3.9,-5.4
Green Bay Packers*,8,7,1,.531,417,428,-11,-0.7,-2.4,-3.1,0.5,-3.6
Chicago Bears,8,8,0,.500,445,478,-33,-2.1,-2.1,-4.1,3.0,-7.1
Detroit Lions,7,9,0,.438,395,376,19,1.2,-2.8,-1.6,-1.2,-0.5
Minnesota Vikings,5,10,1,.344,391,480,-89,-5.6,-1.1,-6.6,0.2,-6.9
Carolina Panthers*,12,4,0,.750,366,241,125,7.8,1.4,9.2,0.6,8.6
New Orleans Saints+,11,5,0,.688,414,304,110,6.9,1.9,8.8,3.8,5.0
Atlanta Falcons,4,12,0,.250,353,443,-90,-5.6,2.9,-2.8,1.2,-3.9
Tampa Bay Buccaneers,4,12,0,.250,288,389,-101,-6.3,3.6,-2.7,-2.9,0.3
Seattle Seahawks*,13,3,0,.813,417,231,186,11.6,1.4,13.0,4.1,8.9
San Francisco 49ers+,12,4,0,.750,406,272,134,8.4,1.8,10.1,3.5,6.6
Arizona Cardinals,10,6,0,.625,379,324,55,3.4,3.0,6.4,2.7,3.7
St. Louis Rams,7,9,0,.438,348,364,-16,-1.0,3.2,2.2,0.4,1.8
