,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Seattle Seahawks,16,,,2,2,11,9,9,8,5,3,27,22,56,81.5%,51,48,94.1%,83,5055,42,50.6%,60.9,79,3760,69,1,47.6
2,Houston Texans,16,1,1,9,9,11,11,15,12,6,4,42,37,54,88.1%,41,39,95.1%,92,5885,58,63.0%,64.0,74,3238,61,0,43.8
3,New York Jets,16,,,4,4,13,12,12,11,7,6,36,33,56,91.7%,33,30,90.9%,83,5311,60,72.3%,64.0,82,3763,67,0,45.9
4,New England Patriots,16,,,11,11,10,10,6,4,5,2,32,27,52,84.4%,50,49,98.0%,93,5784,50,53.8%,62.2,64,2886,66,0,45.1
5,Denver Broncos,16,,,5,5,6,6,7,7,7,2,25,20,53,80.0%,35,35,100.0%,73,4473,42,57.5%,61.3,85,3786,66,0,44.5
6,Green Bay Packers,16,,,4,4,11,10,15,11,7,5,37,30,53,81.1%,36,34,94.4%,84,5229,41,48.8%,62.3,72,3176,67,1,44.1
7,Cleveland Browns,16,,,4,4,9,9,9,5,3,1,25,19,51,76.0%,34,28,82.4%,79,4972,52,65.8%,62.9,85,3767,79,2,44.3
8,Miami Dolphins,16,,,7,7,3,3,9,7,1,1,20,18,50,90.0%,36,35,97.2%,70,4395,55,78.6%,62.8,88,3884,65,1,44.1
9,Minnesota Vikings,16,,,6,5,12,11,12,5,2,1,32,22,52,68.8%,37,36,97.3%,79,4791,44,55.7%,60.6,73,3256,70,1,44.6
10,Kansas City Chiefs,16,,,9,9,7,7,7,6,4,2,27,24,54,88.9%,69,65,94.2%,111,7060,72,64.9%,63.6,45,2021,67,0,44.9
11,Chicago Bears,16,,,6,6,10,7,12,9,2,1,30,23,50,76.7%,45,42,93.3%,89,5627,65,73.0%,63.2,63,2792,65,1,44.3
12,Los Angeles Rams,16,1,1,13,12,13,13,8,4,6,4,41,34,56,82.9%,53,51,96.2%,107,6849,77,72.0%,64.0,43,1991,68,0,46.3
13,Baltimore Ravens,16,,,12,12,9,9,11,9,7,5,39,35,56,89.7%,37,36,97.3%,92,5765,58,63.0%,62.7,61,2843,65,1,46.6
14,Pittsburgh Steelers,16,,,3,3,8,6,11,6,1,1,23,16,50,69.6%,49,44,89.8%,85,5328,50,58.8%,62.7,64,2780,69,0,43.4
15,Tennessee Titans,16,,,6,5,13,13,7,5,4,3,30,26,54,86.7%,31,28,90.3%,72,4536,45,62.5%,63.0,75,3484,62,1,46.5
16,Buffalo Bills,16,,,3,3,8,8,10,7,7,4,28,22,54,78.6%,26,25,96.2%,66,3958,30,45.5%,60.0,82,3513,60,1,42.8
17,New York Giants,16,,,9,9,13,13,6,6,5,4,33,32,57,97.0%,32,31,96.9%,85,5186,51,60.0%,61.0,71,3226,60,0,45.4
18,Detroit Lions,16,,,8,8,12,12,7,5,5,3,32,28,54,87.5%,30,30,100.0%,79,4802,37,46.8%,60.8,74,3311,61,0,44.7
19,Cincinnati Bengals,16,,,4,4,8,7,6,6,5,2,23,19,51,82.6%,41,39,95.1%,79,4969,45,57.0%,62.9,72,3119,69,1,43.3
20,Jacksonville Jaguars,16,,,6,6,9,9,5,4,6,4,26,23,57,88.5%,23,22,95.7%,64,3908,41,64.1%,61.1,86,3872,72,0,45.0
21,Arizona Cardinals,16,,,3,3,4,4,5,3,5,2,17,12,55,70.6%,24,23,95.8%,56,3534,28,50.0%,63.1,94,4568,64,0,48.6
22,Los Angeles Chargers,16,,,8,8,7,7,11,8,3,1,29,24,59,82.8%,43,36,83.7%,88,5526,27,30.7%,62.8,62,2644,66,1,42.6
23,Washington Redskins,16,,,5,5,7,7,12,10,5,4,29,26,56,89.7%,26,25,96.2%,70,4443,56,80.0%,63.5,79,3580,63,0,45.3
24,San Francisco 49ers,16,,,9,9,13,13,10,9,2,2,34,33,53,97.1%,29,27,93.1%,81,5065,52,64.2%,62.5,69,2973,64,1,43.1
25,Indianapolis Colts,16,,,8,8,7,6,6,5,6,4,27,23,54,85.2%,47,44,93.6%,88,5435,59,67.0%,61.8,57,2629,63,0,46.1
26,Atlanta Falcons,16,,,5,5,5,5,9,9,7,6,26,25,57,96.2%,43,41,95.3%,89,5578,51,57.3%,62.7,62,2729,57,2,44.0
27,Oakland Raiders,16,,,8,8,3,3,15,12,6,4,32,27,52,84.4%,28,27,96.4%,71,4326,29,40.8%,60.9,70,3023,64,0,43.2
28,Dallas Cowboys,16,,,10,10,8,6,11,7,7,6,36,29,62,80.6%,33,32,97.0%,77,4984,52,67.5%,64.7,60,2670,63,0,44.5
29,Tampa Bay Buccaneers,16,,,5,5,12,11,8,3,2,1,27,20,59,74.1%,44,40,90.9%,86,5349,51,59.3%,62.2,58,2567,64,1,44.3
30,Philadelphia Eagles,16,,,7,7,11,10,8,7,5,2,31,26,56,83.9%,35,33,94.3%,82,5210,57,69.5%,63.5,61,2938,68,0,48.2
31,New Orleans Saints,16,1,1,5,5,9,9,12,11,3,2,30,28,54,93.3%,53,52,98.1%,103,6598,64,62.1%,64.1,43,1996,60,0,46.4
32,Carolina Panthers,16,,,4,4,7,6,4,4,6,5,21,19,63,90.5%,41,37,90.2%,78,4938,60,76.9%,63.3,61,2759,59,0,45.2
