,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Philadelphia Eagles,16,,,10,10,16,14,6,4,4,4,36,32,54,88.9%,54,54,100.0%,98,6401,46,46.9%,65.3,76,3331,68,0,43.8
2,Oakland Raiders,16,,,2,2,5,5,10,9,5,3,22,19,57,86.4%,28,28,100.0%,61,3723,34,55.7%,61.0,109,4930,62,0,45.2
3,Houston Texans,16,,,7,6,15,13,8,7,5,4,35,30,55,85.7%,40,40,100.0%,87,5680,40,46.0%,65.3,84,3845,71,1,45.8
4,Buffalo Bills,16,,,9,9,13,12,8,7,8,6,38,34,58,89.5%,32,31,96.9%,85,5323,49,57.6%,62.6,86,3692,67,0,42.9
5,New England Patriots,16,1,1,11,11,11,10,13,12,1,1,37,35,53,94.6%,51,51,100.0%,99,6328,53,53.5%,63.9,67,3060,67,1,45.7
6,Cleveland Browns,16,,,6,6,15,12,8,6,3,1,32,25,52,78.1%,30,30,100.0%,71,4679,40,56.3%,65.9,93,4119,59,0,44.3
7,Denver Broncos,16,2,2,9,9,8,7,7,5,3,1,29,24,50,82.8%,56,56,100.0%,99,6437,64,64.6%,65.0,69,3048,65,0,44.2
8,Arizona Cardinals,16,,,5,5,14,12,11,10,3,2,33,29,51,87.9%,27,27,100.0%,76,5054,38,50.0%,66.5,92,3815,67,2,41.5
9,New York Giants,16,1,1,7,6,9,9,5,4,4,4,26,24,53,92.3%,44,44,100.0%,82,5021,46,56.1%,61.2,81,3640,71,1,44.9
10,Indianapolis Colts,16,,,10,10,10,10,8,7,3,3,31,30,53,96.8%,50,50,100.0%,99,6335,70,70.7%,64.0,69,3221,61,0,46.7
11,St. Louis Rams,16,1,1,7,6,12,10,3,2,7,5,30,24,56,80.0%,35,34,97.1%,75,4892,38,50.7%,65.2,81,3721,61,1,45.9
12,Cincinnati Bengals,16,,,6,6,12,10,12,10,3,,33,26,49,78.8%,39,39,100.0%,81,5316,37,45.7%,65.6,73,3419,69,0,46.8
13,Jacksonville Jaguars,16,,,3,3,8,7,9,7,6,3,26,20,53,76.9%,23,23,100.0%,65,3955,37,56.9%,60.8,96,4464,69,2,46.5
14,Dallas Cowboys,16,,,6,6,7,6,9,8,7,5,29,25,56,86.2%,56,56,100.0%,99,6232,52,52.5%,62.9,58,2586,64,1,44.6
15,Carolina Panthers,16,,,7,7,13,12,12,9,3,1,35,29,53,82.9%,34,34,100.0%,79,5196,61,77.2%,65.8,74,3236,72,1,43.7
16,San Diego Chargers,16,1,1,6,6,9,8,6,4,4,3,26,22,52,84.6%,40,40,100.0%,78,4751,10,12.8%,60.9,75,3366,72,1,44.9
17,New York Jets,16,,,13,13,7,7,13,9,6,3,39,32,55,82.1%,23,23,100.0%,74,4655,21,28.4%,62.9,79,3580,69,1,45.3
18,Seattle Seahawks,16,,,10,10,10,10,13,9,4,2,37,31,58,83.8%,41,41,100.0%,89,5807,46,51.7%,65.2,62,2688,66,1,43.4
19,Minnesota Vikings,16,2,2,5,4,10,8,9,7,9,5,35,26,55,74.3%,29,29,100.0%,77,4842,48,62.3%,62.9,76,3318,62,1,43.7
20,Atlanta Falcons,16,,,10,10,4,4,8,8,10,7,32,29,54,90.6%,40,40,100.0%,83,5172,46,55.4%,62.3,67,3063,66,0,45.7
21,Pittsburgh Steelers,16,,,13,12,6,6,10,10,3,1,32,29,53,90.6%,45,45,100.0%,89,5552,32,36.0%,62.4,62,2667,74,1,43.0
22,Kansas City Chiefs,16,1,1,10,10,7,6,10,7,2,1,30,25,53,83.3%,38,38,100.0%,81,5156,26,32.1%,63.7,71,3164,69,0,44.6
23,Green Bay Packers,16,,,7,7,12,11,7,5,7,4,33,27,55,81.8%,55,53,96.4%,104,6407,41,39.4%,61.6,51,2159,63,2,42.3
24,Tennessee Titans,16,,,5,5,7,7,8,5,2,2,22,19,51,86.4%,27,27,100.0%,65,4086,31,47.7%,62.9,89,4118,79,1,46.3
25,Detroit Lions,16,,,10,10,6,5,14,6,8,4,38,25,52,65.8%,32,32,100.0%,75,4803,53,70.7%,64.0,68,3138,71,0,46.1
26,Miami Dolphins,16,1,1,12,12,8,7,10,6,6,3,37,29,53,78.4%,41,41,100.0%,85,5448,37,43.5%,64.1,59,2688,60,1,45.6
27,San Francisco 49ers,16,,,6,6,9,8,7,5,9,6,31,25,55,80.6%,33,33,100.0%,73,4721,32,43.8%,64.7,73,3369,71,1,46.2
28,Washington Redskins,16,,,11,11,7,6,8,7,1,,27,24,49,88.9%,32,31,96.9%,72,4483,27,37.5%,62.3,78,3659,77,1,46.9
29,Baltimore Ravens,16,,,10,10,11,11,4,4,9,4,34,29,55,85.3%,42,42,100.0%,88,5704,60,68.2%,64.8,60,2841,73,0,47.4
30,Tampa Bay Buccaneers,16,,,3,2,8,7,7,6,6,5,24,20,55,83.3%,31,31,100.0%,69,4429,31,44.9%,64.2,79,3154,56,1,39.9
31,New Orleans Saints,16,,,6,6,9,9,5,3,2,1,22,19,50,86.4%,47,46,97.9%,81,5258,40,49.4%,64.9,58,2690,63,0,46.4
32,Chicago Bears,16,,,5,5,4,3,6,4,1,,16,12,48,75.0%,35,33,94.3%,68,3824,25,36.8%,56.2,72,3107,61,1,43.2
