,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Arizona Cardinals,16,54,441,0,26,8.2,40,930,0,65,23.3,6113
2,Denver Broncos,16,49,445,1,76,9.1,28,646,1,105,23.1,7671
3,Cincinnati Bengals,16,47,488,1,81,10.4,41,928,0,45,22.6,7010
4,Chicago Bears,16,44,333,0,44,7.6,47,929,0,40,19.8,6557
5,Baltimore Ravens,16,43,404,1,63,9.4,60,1636,2,108,27.3,7983
6,Kansas City Chiefs,16,43,375,0,27,8.7,49,1059,0,41,21.6,6834
7,New England Patriots,16,42,506,1,68,12.0,38,807,1,104,21.2,8415
8,Seattle Seahawks,16,42,355,0,52,8.5,29,787,1,98,27.1,6985
9,Cleveland Browns,16,41,606,1,93,14.8,50,1269,0,74,25.4,7154
10,Pittsburgh Steelers,16,41,300,0,63,7.3,43,1086,0,68,25.3,6946
11,Houston Texans,16,38,414,0,71,10.9,44,953,0,54,21.7,7574
12,St. Louis Rams,16,37,245,0,23,6.6,38,799,0,48,21.0,6546
13,San Francisco 49ers,16,36,378,0,38,10.5,49,1216,0,94,24.8,7774
14,Green Bay Packers,16,36,395,1,75,11.0,43,1074,0,46,25.0,7553
15,Washington Redskins,16,36,335,0,64,9.3,38,892,0,55,23.5,7660
16,Tampa Bay Buccaneers,16,36,324,0,39,9.0,31,630,0,55,20.3,6928
17,Detroit Lions,16,35,302,0,48,8.6,34,681,0,40,20.0,7728
18,Jacksonville Jaguars,16,34,248,0,28,7.3,53,1114,0,38,21.0,6475
19,Oakland Raiders,16,34,173,0,47,5.1,42,935,0,51,22.3,6771
20,Dallas Cowboys,16,34,420,1,78,12.4,36,741,0,44,20.6,7462
21,San Diego Chargers,16,33,320,1,63,9.7,40,957,1,99,23.9,6342
22,Minnesota Vikings,16,32,287,1,77,9.0,44,1171,1,105,26.6,7027
23,Tennessee Titans,16,31,475,3,81,15.3,63,1489,1,105,23.6,7300
24,Miami Dolphins,16,31,346,1,72,11.2,40,1082,1,96,27.1,6668
25,Philadelphia Eagles,16,30,310,1,98,10.3,60,1259,0,44,21.0,7463
26,Indianapolis Colts,16,28,312,1,75,11.1,43,957,1,101,22.3,7315
27,Carolina Panthers,16,27,276,0,69,10.2,39,867,0,35,22.2,7161
28,Buffalo Bills,16,26,445,2,88,17.1,42,1136,1,89,27.0,7221
29,Atlanta Falcons,16,26,205,0,28,7.9,27,640,0,77,23.7,7028
30,New Orleans Saints,16,25,190,0,37,7.6,51,1266,0,75,24.8,8222
31,New York Jets,16,23,238,1,68,10.3,50,1308,1,100,26.2,6688
32,New York Giants,16,20,144,0,18,7.2,63,1648,1,97,26.2,7727
