,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,New Orleans Saints,16,40,368,1,53,9.2,28,676,0,51,24.1,7430
2,Atlanta Falcons,16,37,263,1,78,7.1,25,571,0,47,22.8,7382
3,Chicago Bears,16,33,302,0,71,9.2,34,903,1,102,26.6,6405
4,Tampa Bay Buccaneers,16,33,172,0,40,5.2,25,494,0,39,19.8,7672
5,San Francisco 49ers,16,33,264,0,32,8.0,20,409,0,81,20.5,7314
6,Kansas City Chiefs,16,32,222,0,36,6.9,37,927,1,104,25.1,7678
7,Buffalo Bills,16,32,243,0,22,7.6,32,802,1,66,25.1,6678
8,Jacksonville Jaguars,16,31,154,0,43,5.0,26,628,0,59,24.2,6646
9,Detroit Lions,16,31,246,1,64,7.9,23,564,1,100,24.5,6780
10,Cincinnati Bengals,16,29,164,0,17,5.7,42,1091,1,92,26.0,6955
11,Pittsburgh Steelers,16,29,285,1,85,9.8,29,525,0,34,18.1,5789
12,New England Patriots,16,29,233,0,22,8.0,26,575,0,38,22.1,7065
13,New York Giants,16,28,274,0,60,9.8,49,1153,0,52,23.5,7377
14,Minnesota Vikings,16,28,191,0,23,6.8,17,380,0,38,22.4,6638
15,Miami Dolphins,16,27,177,0,21,6.6,36,796,1,101,22.1,6420
16,Oakland Raiders,16,27,190,0,32,7.0,35,811,0,72,23.2,7202
17,Philadelphia Eagles,16,27,160,0,17,5.9,29,653,0,67,22.5,7074
18,Denver Broncos,16,27,208,0,42,7.7,21,534,0,60,25.4,5968
19,Los Angeles Rams,16,27,170,0,35,6.3,18,404,0,30,22.4,6914
20,Carolina Panthers,16,25,171,0,39,6.8,31,677,0,36,21.8,7003
21,Baltimore Ravens,16,25,206,0,25,8.2,27,493,0,46,18.3,7733
22,Arizona Cardinals,16,24,168,0,29,7.0,36,764,0,39,21.2,6813
23,Indianapolis Colts,16,24,418,2,84,17.4,31,707,0,47,22.8,6735
24,Cleveland Browns,16,23,163,0,18,7.1,38,830,0,74,21.8,6965
25,Seattle Seahawks,16,23,141,0,20,6.1,22,432,0,33,19.6,7103
26,Dallas Cowboys,16,23,131,0,15,5.7,20,325,0,30,16.3,7667
27,Los Angeles Chargers,16,22,118,1,68,5.4,35,726,0,43,20.7,7009
28,Washington Redskins,16,22,104,0,15,4.7,33,833,1,91,25.2,5819
29,Tennessee Titans,16,22,169,0,21,7.7,30,638,0,45,21.3,7243
30,Houston Texans,16,22,214,0,23,9.7,14,308,0,31,22.0,6967
31,New York Jets,16,21,240,0,26,11.4,37,807,0,78,21.8,5878
32,Green Bay Packers,16,20,98,0,18,4.9,32,667,0,45,20.8,6749
