,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Jacksonville Jaguars,16,,,6,6,14,13,10,9,5,2,35,30,56,85.7%,41,37,90.2%,92,5439,48,52.2%,59.1,88,3835,65,1,43.6
2,Baltimore Ravens,16,,,7,7,11,11,12,11,7,5,37,34,57,91.9%,39,39,100.0%,90,5601,55,61.1%,62.2,85,3765,67,1,44.3
3,Seattle Seahawks,16,,,6,6,10,7,12,8,1,,29,21,49,72.4%,38,37,97.4%,80,4962,39,48.8%,62.0,92,4140,74,0,45.0
4,Los Angeles Rams,16,1,1,10,10,13,11,12,12,7,6,43,40,56,93.0%,51,48,94.1%,103,6586,78,75.7%,63.9,65,3113,70,0,47.9
5,Arizona Cardinals,16,1,1,7,7,14,10,13,10,5,4,40,32,57,80.0%,26,23,88.5%,77,4715,34,44.2%,61.2,88,4159,63,0,47.3
6,New York Jets,16,1,1,6,6,4,4,17,12,2,2,30,25,57,83.3%,29,29,100.0%,72,4404,45,62.5%,61.2,94,4378,70,0,46.6
7,Houston Texans,16,,,4,3,10,8,7,6,4,3,25,20,55,80.0%,35,32,91.4%,76,4764,49,64.5%,62.7,92,4507,68,0,49.0
8,Washington Redskins,16,1,1,12,12,6,5,6,5,3,1,28,24,55,85.7%,39,36,92.3%,79,4987,53,67.1%,63.1,83,3794,64,0,45.7
9,Tennessee Titans,16,,,10,10,7,7,20,16,5,2,42,35,52,83.3%,33,31,93.9%,80,5120,47,58.8%,64.0,75,3729,74,0,49.7
10,Kansas City Chiefs,16,,,8,8,20,19,12,10,5,4,45,41,53,91.1%,40,40,100.0%,97,6232,71,73.2%,64.2,65,2937,77,0,45.2
11,Detroit Lions,16,2,2,4,4,10,10,8,7,11,7,35,30,58,85.7%,41,40,97.6%,91,5769,47,51.6%,63.4,73,3189,64,0,43.7
12,Minnesota Vikings,16,,,8,8,14,12,7,6,9,6,38,32,53,84.2%,39,34,87.2%,89,5638,44,49.4%,63.3,71,2995,56,0,42.2
13,San Francisco 49ers,16,,,8,7,11,11,18,17,4,4,41,39,52,95.1%,30,28,93.3%,83,5166,64,77.1%,62.2,75,3255,59,0,43.4
14,Los Angeles Chargers,16,,,11,11,8,6,8,2,3,1,30,20,50,66.7%,42,37,88.1%,,,,,,74,3558,69,0,48.1
15,New Orleans Saints,16,,,10,10,5,4,16,13,5,4,36,31,53,86.1%,50,47,94.0%,95,6037,59,62.1%,63.5,60,2822,68,0,47.0
16,Philadelphia Eagles,16,,,5,5,8,5,14,13,7,6,34,29,61,85.3%,44,40,90.9%,94,5834,45,47.9%,62.1,68,3033,62,1,44.6
17,New England Patriots,16,,,16,16,9,9,11,8,4,4,40,37,62,92.5%,47,45,95.7%,99,6228,40,40.4%,62.9,58,2515,60,0,43.4
18,New York Giants,16,,,8,8,5,3,9,4,3,3,25,18,52,72.0%,23,20,87.0%,62,3759,26,41.9%,60.6,97,4187,69,2,43.2
19,Cincinnati Bengals,16,,,6,6,8,7,5,4,1,1,20,18,51,90.0%,34,32,94.1%,67,4210,31,46.3%,62.8,89,4102,63,1,46.1
20,Indianapolis Colts,16,,,11,11,10,7,7,6,6,5,34,29,54,85.3%,24,22,91.7%,70,4385,46,65.7%,62.6,85,3765,61,1,44.3
21,Buffalo Bills,16,,,6,6,9,9,9,7,9,7,33,29,56,87.9%,29,29,100.0%,74,4361,37,50.0%,58.9,79,3528,60,0,44.7
22,Pittsburgh Steelers,16,,,10,10,14,12,10,9,4,4,38,35,53,92.1%,39,37,94.9%,90,5681,46,51.1%,63.1,64,2763,62,0,43.2
23,Carolina Panthers,16,,,8,8,11,11,10,10,1,,30,29,48,96.7%,37,34,91.9%,83,5313,70,84.3%,64.0,71,3268,63,0,46.0
24,Chicago Bears,16,1,1,5,5,2,2,10,6,4,2,22,16,55,72.7%,28,26,92.9%,60,3780,28,46.7%,63.0,87,4087,69,0,47.0
25,Miami Dolphins,16,,,6,6,8,8,7,6,2,1,23,21,54,91.3%,29,26,89.7%,67,4013,28,41.8%,59.9,83,3695,64,0,44.5
26,Denver Broncos,16,,,8,6,12,11,6,4,6,3,32,24,53,75.0%,27,27,100.0%,73,4309,45,61.6%,59.0,76,3358,60,2,44.2
27,Dallas Cowboys,16,1,1,6,5,8,6,9,7,5,3,29,22,56,75.9%,39,36,92.3%,80,5159,45,56.3%,64.5,66,2908,62,0,44.1
28,Tampa Bay Buccaneers,16,,,7,7,10,9,10,6,7,3,34,25,50,73.5%,31,28,90.3%,77,4704,27,35.1%,61.1,66,2857,62,1,43.3
29,Cleveland Browns,16,,,5,5,6,4,6,4,3,2,20,15,54,75.0%,26,25,96.2%,57,3350,33,57.9%,58.8,82,3827,67,1,46.7
30,Atlanta Falcons,16,1,1,6,6,13,10,10,9,9,8,39,34,57,87.2%,35,35,100.0%,84,5332,49,58.3%,63.5,53,2379,62,0,44.9
31,Green Bay Packers,16,,,8,8,4,2,4,4,3,1,19,15,50,78.9%,35,33,94.3%,68,4248,36,52.9%,62.5,71,3155,62,0,44.4
32,Oakland Raiders,16,,,5,5,7,5,5,3,4,3,21,16,53,76.2%,34,33,97.1%,64,4058,48,75.0%,63.4,69,3271,65,0,47.4
