,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Kansas City Chiefs,16,,,6,6,10,9,8,6,4,1,28,22,51,78.6%,52,52,100.0%,92,5937,47,51.1%,64.5,89,4034,65,1,45.3
2,Denver Broncos,16,2,2,4,4,5,5,8,8,7,6,26,25,64,96.2%,75,75,100.0%,115,7410,81,70.4%,64.4,66,2893,60,1,43.8
3,Buffalo Bills,16,,,13,13,6,6,11,10,6,4,36,33,55,91.7%,32,32,100.0%,83,5286,34,41.0%,63.7,96,4124,66,0,43.0
4,New England Patriots,16,1,1,8,8,13,13,13,11,6,5,41,38,54,92.7%,44,44,100.0%,99,6315,65,65.7%,63.8,77,3523,65,0,45.8
5,San Francisco 49ers,16,,,13,12,6,6,11,10,6,4,36,32,56,88.9%,44,44,100.0%,92,5949,38,41.3%,64.7,79,3804,62,0,48.2
6,Baltimore Ravens,16,,,10,10,13,12,11,10,7,6,41,38,61,92.7%,26,26,100.0%,82,5114,42,51.2%,62.4,91,4138,69,1,45.5
7,Philadelphia Eagles,16,,,8,8,8,7,10,7,2,1,28,23,51,82.1%,45,45,100.0%,90,5583,37,41.1%,62.0,83,3681,70,1,44.3
8,Seattle Seahawks,16,,,11,10,9,9,12,11,3,3,35,33,53,94.3%,44,44,100.0%,94,6118,48,51.1%,65.1,76,3159,69,2,41.6
9,Dallas Cowboys,16,2,2,2,2,9,8,10,10,7,6,30,28,53,93.3%,47,47,100.0%,93,5815,52,55.9%,62.5,77,3467,62,0,45.0
10,Oakland Raiders,16,,,6,6,6,4,11,8,7,3,30,21,53,70.0%,37,37,100.0%,74,4363,38,51.4%,59.0,86,4107,66,2,47.8
11,New York Jets,16,,,8,8,11,10,14,12,3,3,36,33,54,91.7%,27,27,100.0%,73,4582,30,41.1%,62.8,89,4018,84,1,45.1
12,Miami Dolphins,16,1,1,4,4,12,10,10,8,7,3,34,26,54,76.5%,33,33,100.0%,75,4836,38,50.7%,64.5,85,4150,74,0,48.8
13,Indianapolis Colts,16,,,6,6,11,10,17,15,6,4,40,35,52,87.5%,34,34,100.0%,88,5647,41,46.6%,64.2,77,3499,65,1,45.4
14,Arizona Cardinals,16,,,11,9,8,7,12,11,5,3,36,30,52,83.3%,37,37,100.0%,87,5680,33,37.9%,65.3,78,3566,60,0,45.7
15,Cincinnati Bengals,16,,,2,2,7,6,9,7,4,3,22,18,54,81.8%,53,52,98.1%,86,5428,32,37.2%,63.1,75,3330,75,0,44.4
16,Tennessee Titans,16,,,10,10,9,8,7,5,3,2,29,25,55,86.2%,41,41,100.0%,83,5056,32,38.6%,60.9,79,3386,63,1,42.9
17,Minnesota Vikings,16,,,7,7,12,12,6,5,5,2,30,26,54,86.7%,44,43,97.7%,88,5494,44,50.0%,62.4,75,3316,65,0,44.2
18,Houston Texans,16,1,1,7,7,5,5,17,12,5,1,35,26,51,74.3%,26,26,100.0%,68,4449,29,42.6%,65.4,88,4189,65,0,47.6
19,New York Giants,16,,,8,8,8,7,8,7,2,1,26,23,52,88.5%,31,31,100.0%,71,4424,35,49.3%,62.3,91,4271,68,0,46.9
20,Pittsburgh Steelers,16,,,9,9,15,13,8,8,,,32,30,48,93.8%,39,39,100.0%,86,5123,24,27.9%,59.6,76,3125,70,1,41.1
21,Tampa Bay Buccaneers,16,,,3,3,14,12,6,4,6,4,29,23,54,79.3%,31,31,100.0%,69,4294,41,59.4%,62.2,87,3846,62,0,44.2
22,Cleveland Browns,16,,,7,7,6,5,9,7,4,2,26,21,51,80.8%,33,33,100.0%,73,4498,42,57.5%,61.6,86,3713,59,1,43.2
23,Chicago Bears,16,,,11,11,7,6,7,6,4,3,29,26,58,89.7%,46,45,97.8%,90,5271,38,42.2%,58.6,69,2763,65,1,40.0
24,Washington Redskins,16,,,6,5,10,10,7,5,3,1,26,21,50,80.8%,33,33,100.0%,72,4324,22,30.6%,60.1,85,3526,63,1,41.5
25,Jacksonville Jaguars,16,,,3,3,12,12,5,4,5,4,25,23,55,92.0%,23,22,95.7%,63,4038,36,57.1%,64.1,95,4338,61,0,45.7
26,Green Bay Packers,16,1,1,13,13,8,8,8,6,7,5,37,33,57,89.2%,42,42,100.0%,93,5847,30,32.3%,62.9,64,2854,62,0,44.6
27,New Orleans Saints,16,2,2,7,6,8,5,14,10,1,1,32,24,55,75.0%,48,48,100.0%,87,5572,52,59.8%,64.0,61,2859,61,0,46.9
28,Detroit Lions,16,1,1,5,5,8,6,7,4,3,3,24,19,53,79.2%,43,42,97.7%,84,5350,45,53.6%,63.7,73,3399,72,1,46.6
29,St. Louis Rams,16,,,7,7,10,10,9,8,2,1,28,26,54,92.9%,34,34,100.0%,81,5163,52,64.2%,63.7,78,3609,64,0,46.3
30,Carolina Panthers,16,,,9,9,5,4,7,5,6,6,27,24,55,88.9%,42,42,100.0%,82,5305,63,76.8%,64.7,70,3344,72,0,47.8
31,Atlanta Falcons,16,,,9,9,8,7,5,5,5,3,27,24,53,88.9%,39,39,100.0%,79,4836,50,63.3%,61.2,70,3166,63,2,45.2
32,San Diego Chargers,16,1,1,9,9,16,13,9,9,2,2,37,34,50,91.9%,42,42,100.0%,92,6031,18,19.6%,65.6,56,2417,61,0,43.2
