,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,New England Patriots,16,1,1,13,12,9,8,10,5,1,1,34,27,51,79.4%,45,39,86.7%,92,5701,59,64.1%,62.0,81,3638,65,0,44.9
2,Tennessee Titans,16,,,,,4,2,9,4,5,2,18,8,53,44.4%,52,50,96.2%,78,4814,39,50.0%,61.7,78,3672,70,0,47.1
3,Seattle Seahawks,16,,,6,6,11,11,7,4,4,2,28,23,54,82.1%,44,40,90.9%,85,5337,59,69.4%,62.8,74,3341,63,0,45.1
4,New Orleans Saints,16,1,1,9,9,6,6,15,13,5,3,36,32,58,88.9%,49,48,98.0%,95,6128,74,77.9%,64.5,60,2770,64,0,46.2
5,Detroit Lions,16,,,11,11,3,2,9,6,8,7,31,26,56,83.9%,36,35,97.2%,80,4899,25,31.3%,61.2,76,3445,62,0,45.3
6,Carolina Panthers,16,,,5,4,5,5,11,8,11,8,32,25,55,78.1%,35,31,88.6%,76,4658,66,86.8%,61.3,75,3452,62,0,46.0
7,New York Jets,16,,,2,2,8,7,12,7,6,3,28,19,54,67.9%,27,23,85.2%,68,4117,32,47.1%,60.5,87,3991,63,0,45.9
8,Los Angeles Rams,16,,,7,7,8,7,11,5,7,5,33,24,58,72.7%,42,42,100.0%,85,5357,65,76.5%,63.0,67,3128,71,1,46.7
9,Green Bay Packers,16,1,1,2,2,11,11,8,7,2,1,24,22,54,91.7%,41,40,97.6%,79,5031,49,62.0%,63.7,77,3386,66,0,44.0
10,San Francisco 49ers,16,,,11,11,11,9,13,10,4,,39,30,48,76.9%,50,49,98.0%,98,6202,49,50.0%,63.3,52,2333,65,0,44.9
11,Buffalo Bills,16,,,5,5,8,7,10,9,5,1,28,22,51,78.6%,32,30,93.8%,74,4579,42,56.8%,61.9,80,3313,67,1,41.4
12,Arizona Cardinals,16,,,12,12,13,12,8,5,2,2,35,31,54,88.6%,35,34,97.1%,83,5241,45,54.2%,63.1,70,3288,64,1,47.0
13,Tampa Bay Buccaneers,16,,,6,6,7,5,14,11,8,5,35,27,58,77.1%,48,43,89.6%,98,6317,88,89.8%,64.5,57,2464,63,0,43.2
14,Denver Broncos,16,,,6,6,9,9,12,10,7,4,34,29,53,85.3%,26,25,96.2%,72,4634,55,76.4%,64.4,78,3464,64,0,44.4
15,Chicago Bears,16,1,1,8,8,10,9,7,3,2,2,28,23,53,82.1%,29,27,93.1%,67,4103,36,53.7%,61.2,81,3586,75,1,44.3
16,Dallas Cowboys,16,,,10,10,9,7,12,8,9,5,40,30,63,75.0%,46,46,100.0%,92,5545,51,55.4%,60.3,51,2079,58,1,40.8
17,Minnesota Vikings,16,,,10,10,9,9,7,5,3,3,29,27,50,93.1%,44,40,90.9%,88,5660,66,75.0%,64.3,62,2802,59,0,45.2
