,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
18,Kansas City Chiefs,16,,,9,9,10,9,13,13,6,3,38,34,56,89.5%,48,45,93.8%,98,6157,60,61.2%,62.8,49,2126,68,1,43.4
19,Philadelphia Eagles,16,,,7,7,8,8,7,5,4,2,26,22,53,84.6%,37,35,94.6%,81,5058,52,64.2%,62.4,71,3292,61,0,46.4
20,Pittsburgh Steelers,16,1,1,11,11,7,7,10,9,2,1,31,29,51,93.5%,28,28,100.0%,75,4735,31,41.3%,63.1,74,3368,69,0,45.5
21,Cincinnati Bengals,16,,,10,10,6,6,12,10,3,1,31,27,57,87.1%,25,24,96.0%,71,4269,46,64.8%,60.1,75,3394,63,0,45.3
22,Washington Redskins,16,,,8,7,9,8,10,8,3,2,30,25,53,83.3%,22,21,95.5%,68,4231,48,70.6%,62.2,79,3919,79,0,49.6
23,Miami Dolphins,16,,,7,7,9,8,9,5,5,3,30,23,54,76.7%,30,29,96.7%,73,4423,49,67.1%,60.6,69,3105,62,0,45.0
24,Jacksonville Jaguars,16,,,12,12,9,9,9,8,4,4,34,33,56,97.1%,20,19,95.0%,76,4583,39,51.3%,60.3,75,3507,66,0,46.8
25,Oakland Raiders,16,,,8,8,6,5,10,6,2,,26,19,48,73.1%,36,34,94.4%,71,4496,38,53.5%,63.3,67,3081,74,0,46.0
26,Baltimore Ravens,16,,,8,8,9,9,11,10,1,1,29,28,51,96.6%,59,57,96.6%,106,6646,57,53.8%,62.7,41,1855,62,1,45.2
27,Indianapolis Colts,16,1,1,8,7,7,7,8,3,7,4,31,22,55,71.0%,39,33,84.6%,79,5101,60,75.9%,64.6,59,2619,60,0,44.4
28,Cleveland Browns,16,,,6,6,9,9,12,9,2,1,29,25,53,86.2%,35,30,85.7%,79,4903,30,38.0%,62.1,65,2950,71,1,45.4
29,New York Giants,16,,,6,6,6,5,4,1,1,,17,12,45,70.6%,39,35,89.7%,72,4485,50,69.4%,62.3,71,3178,62,2,44.8
30,Houston Texans,16,,,5,5,8,8,6,4,6,3,25,20,54,80.0%,45,40,88.9%,82,5164,42,51.2%,63.0,57,2599,71,0,45.6
31,Atlanta Falcons,16,,,7,7,14,12,12,10,7,3,40,32,52,80.0%,31,29,93.5%,87,5114,47,54.0%,58.8,53,2210,60,1,41.7
32,Los Angeles Chargers,16,,,7,7,7,6,17,11,3,2,34,26,51,76.5%,35,35,100.0%,75,4647,36,48.0%,62.0,48,2256,60,0,47.0
