,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Houston Texans,16,38,327,0,30,8.6,20,487,0,36,24.4,7000
2,New York Giants,16,37,231,0,23,6.2,45,1097,0,51,24.4,7383
3,Arizona Cardinals,16,36,295,0,45,8.2,25,536,0,36,21.4,5057
4,Baltimore Ravens,16,35,404,1,70,11.5,32,707,0,39,22.1,7260
5,Los Angeles Chargers,16,34,358,1,73,10.5,28,653,0,40,23.3,7200
6,Jacksonville Jaguars,16,34,334,1,74,9.8,26,532,0,47,20.5,6020
7,Philadelphia Eagles,16,33,216,0,42,6.5,33,725,0,48,22.0,7035
8,Chicago Bears,16,33,411,0,44,12.5,23,440,0,31,19.1,6536
9,Cleveland Browns,16,32,290,0,37,9.1,44,884,0,35,20.1,7328
10,Buffalo Bills,16,31,207,0,31,6.7,38,807,0,49,21.2,6080
11,San Francisco 49ers,16,31,180,0,23,5.8,36,944,1,97,26.2,7273
12,Pittsburgh Steelers,16,31,252,0,23,8.1,32,619,0,35,19.3,7490
13,Los Angeles Rams,16,30,307,0,60,10.2,39,834,0,40,21.4,8102
14,Denver Broncos,16,30,132,0,20,4.4,30,604,0,35,20.1,6573
15,Green Bay Packers,16,30,198,0,24,6.6,30,644,0,38,21.5,7138
16,Minnesota Vikings,16,29,315,0,70,10.9,22,540,0,46,24.5,6646
17,Miami Dolphins,16,28,293,1,71,10.5,39,938,1,102,24.1,6278
18,Tennessee Titans,16,27,237,0,38,8.8,23,737,1,94,32.0,6256
19,Detroit Lions,16,27,171,0,25,6.3,20,482,0,45,24.1,6157
20,Tampa Bay Buccaneers,16,26,163,0,16,6.3,31,631,0,38,20.4,7675
21,New England Patriots,16,26,199,0,25,7.7,28,755,1,95,27.0,7396
22,New York Jets,16,25,324,1,78,13.0,46,1238,1,99,26.9,6588
23,Oakland Raiders,16,25,291,1,99,11.6,29,663,0,34,22.9,6639
24,Seattle Seahawks,16,25,143,0,19,5.7,29,669,0,84,23.1,6820
25,Carolina Panthers,16,24,165,0,30,6.9,26,582,0,37,22.4,6954
26,New Orleans Saints,16,24,157,0,17,6.5,23,560,0,50,24.3,6916
27,Indianapolis Colts,16,24,217,0,51,9.0,17,337,0,29,19.8,6867
28,Cincinnati Bengals,16,22,236,0,38,10.7,43,1071,0,77,24.9,6558
29,Kansas City Chiefs,16,22,261,1,91,11.9,40,975,0,97,24.4,8217
30,Atlanta Falcons,16,21,147,0,18,7.0,31,689,0,53,22.2,7358
31,Dallas Cowboys,16,21,119,0,22,5.7,13,283,0,35,21.8,6250
32,Washington Redskins,16,17,110,0,30,6.5,29,570,0,44,19.7,5741
