,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Punting,Punting,Punting,Punting,Punting
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Oakland Raiders,16,,,8,8,14,13,12,8,7,4,41,33,59,80.5%,43,43,100.0%,93,6007,29,31.2%,64.6,78,3650,68,0,46.8
2,St. Louis Rams,16,,,12,11,14,12,9,7,4,3,39,33,53,84.6%,27,26,96.3%,73,4819,5,6.8%,66.0,94,4277,63,0,45.5
3,New York Jets,16,1,1,11,10,16,14,6,3,5,2,39,30,56,76.9%,37,37,100.0%,81,4986,7,8.6%,61.6,84,3578,61,0,42.6
4,Philadelphia Eagles,16,,,12,12,12,10,11,9,3,1,38,32,50,84.2%,47,47,100.0%,96,6135,23,24.0%,63.9,73,3197,63,0,43.8
5,Kansas City Chiefs,16,,,6,6,9,7,8,6,3,1,26,20,53,76.9%,42,42,100.0%,78,4730,8,10.3%,60.6,90,3942,72,1,43.8
6,Washington Redskins,16,1,1,10,8,7,4,14,11,3,,35,24,49,68.6%,28,28,100.0%,72,4632,9,12.5%,64.3,94,3779,56,2,40.2
7,Detroit Lions,16,,,4,4,7,7,13,9,6,5,30,25,55,83.3%,36,35,97.2%,77,4762,3,3.9%,61.8,90,4014,66,0,44.6
8,San Francisco 49ers,16,,,10,10,8,6,6,4,3,2,27,22,51,81.5%,33,33,100.0%,71,4421,5,7.0%,62.3,91,4204,64,0,46.2
9,Arizona Cardinals,16,,,8,8,6,6,10,8,3,2,27,24,55,88.9%,29,29,100.0%,70,4512,16,22.9%,64.5,94,4080,65,0,43.4
10,Atlanta Falcons,16,,,11,11,9,8,10,8,1,1,31,28,51,90.3%,44,44,100.0%,88,5926,23,26.1%,67.3,75,3015,61,1,40.2
11,Denver Broncos,16,,,4,4,10,10,8,6,3,2,25,22,59,88.0%,39,38,97.4%,78,4981,22,28.2%,63.9,86,3836,63,0,44.6
12,Baltimore Ravens,16,,,11,11,9,8,8,7,1,,29,26,49,89.7%,39,39,100.0%,79,5399,40,50.6%,68.3,81,3532,60,0,43.6
13,Pittsburgh Steelers,16,3,3,11,10,6,6,13,8,4,2,37,29,53,78.4%,38,38,100.0%,86,5163,7,8.1%,60.0,74,3278,62,0,44.3
14,Chicago Bears,16,1,1,9,9,9,8,7,4,4,3,30,25,54,83.3%,35,35,100.0%,78,4943,16,20.5%,63.4,83,3328,56,0,40.1
15,Indianapolis Colts,16,,,8,8,10,9,10,9,,,28,26,48,92.9%,51,51,100.0%,91,6035,16,17.6%,66.3,69,2912,66,0,42.2
16,New England Patriots,16,1,1,7,7,12,11,4,3,1,,25,22,43,88.0%,64,62,96.9%,100,6299,17,17.0%,63.0,58,2506,65,0,43.2
17,Green Bay Packers,16,1,1,8,7,5,4,10,8,4,2,28,22,56,78.6%,46,46,100.0%,84,5088,4,4.8%,60.6,71,3110,62,0,43.8
18,New York Giants,16,,,12,12,4,2,4,3,3,2,23,19,53,82.6%,47,47,100.0%,85,5239,7,8.2%,61.6,73,3219,69,1,44.1
19,Dallas Cowboys,16,,,8,8,7,4,11,8,6,4,32,24,53,75.0%,44,42,95.5%,85,5478,22,25.9%,64.4,66,3115,65,1,47.2
20,Miami Dolphins,16,1,1,9,9,5,5,18,11,8,4,41,30,60,73.2%,25,25,100.0%,70,4470,14,20.0%,63.9,75,3368,69,2,44.9
21,Tennessee Titans,16,,,6,6,9,8,8,8,3,2,26,24,55,92.3%,38,38,100.0%,76,4956,17,22.4%,65.2,77,3303,68,0,42.9
22,Carolina Panthers,16,,,9,9,2,2,14,11,4,3,29,25,55,86.2%,17,17,100.0%,58,3811,11,19.0%,65.7,95,4094,60,0,43.1
23,Tampa Bay Buccaneers,16,,,6,6,10,10,10,6,2,1,28,23,53,82.1%,36,36,100.0%,78,4809,1,1.3%,61.7,76,3055,64,0,40.2
24,Seattle Seahawks,16,2,2,12,10,7,7,7,5,2,1,30,25,51,83.3%,31,31,100.0%,73,4745,20,27.4%,65.0,78,3253,63,0,41.7
25,San Diego Chargers,16,,,7,7,11,10,10,9,5,1,33,27,50,81.8%,48,48,100.0%,96,5839,6,6.3%,60.8,56,2430,67,4,43.4
26,Houston Texans,16,,,8,8,11,11,7,5,4,3,30,27,57,90.0%,43,43,100.0%,86,5658,13,15.1%,65.8,63,2652,60,0,42.1
27,Cincinnati Bengals,16,1,1,12,10,9,9,5,2,4,2,31,24,54,77.4%,32,30,93.8%,76,4630,8,10.5%,60.9,72,2995,72,1,41.6
28,Cleveland Browns,16,3,3,7,7,10,10,5,3,3,,28,23,48,82.1%,28,28,100.0%,67,4035,7,10.4%,60.2,78,3424,59,0,43.9
29,Minnesota Vikings,16,,,7,7,9,8,2,2,,,18,17,48,94.4%,31,30,96.8%,65,4047,3,4.6%,62.3,83,3569,59,0,43.0
