,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Cincinnati Bengals,16,47,409,0,40,8.7,34,670,0,41,19.7,5831
2,Los Angeles Rams,16,45,458,0,53,10.2,40,1001,1,103,25.0,7435
3,Denver Broncos,16,41,351,0,44,8.6,34,768,0,61,22.6,6639
4,Arizona Cardinals,16,41,288,0,20,7.0,29,592,0,55,20.4,6245
5,Carolina Panthers,16,40,318,1,60,8.0,34,760,1,103,22.4,6499
6,Minnesota Vikings,16,39,372,0,46,9.5,25,619,0,39,24.8,6877
7,Cleveland Browns,16,38,221,0,25,5.8,35,790,0,71,22.6,6262
8,New York Jets,16,38,171,0,25,4.5,34,683,0,40,20.1,6057
9,Miami Dolphins,16,37,271,0,27,7.3,40,827,0,37,20.7,6278
10,Detroit Lions,16,37,517,2,88,14.0,32,583,0,35,18.2,6791
11,Seattle Seahawks,16,36,237,0,27,6.6,43,1004,1,99,23.3,6849
12,Tennessee Titans,16,36,305,0,46,8.5,28,618,0,57,22.1,6150
13,Kansas City Chiefs,16,35,216,1,82,6.2,47,1051,0,42,22.4,7496
14,Houston Texans,16,35,296,0,49,8.5,27,558,0,42,20.7,6340
15,New Orleans Saints,16,34,218,0,24,6.4,36,825,1,106,22.9,7447
16,San Francisco 49ers,16,34,304,0,39,8.9,31,570,0,34,18.4,6771
17,Jacksonville Jaguars,16,34,325,1,72,9.6,25,551,0,68,22.0,6854
18,Chicago Bears,16,32,337,2,61,10.5,46,969,0,46,21.1,6179
19,Baltimore Ravens,16,32,322,1,77,10.1,34,936,1,96,27.5,6349
20,New England Patriots,16,32,263,0,40,8.2,28,622,1,103,22.2,7393
21,Dallas Cowboys,16,31,275,1,83,8.9,25,620,0,61,24.8,6391
22,Pittsburgh Steelers,16,30,207,0,27,6.9,33,630,1,96,19.1,7038
23,Washington Redskins,16,29,178,0,29,6.1,34,673,0,35,19.8,6392
24,Philadelphia Eagles,16,29,259,0,76,8.9,18,354,0,35,19.7,6695
25,Los Angeles Chargers,16,28,259,1,65,9.3,25,474,0,44,19.0,6879
26,Atlanta Falcons,16,27,201,0,27,7.4,39,871,0,61,22.3,7065
27,Green Bay Packers,16,27,289,0,65,10.7,35,761,0,34,21.7,6306
28,Oakland Raiders,16,27,155,0,19,5.7,34,738,0,49,21.7,6208
29,New York Giants,16,27,148,0,20,5.5,31,609,0,30,19.6,5986
30,Indianapolis Colts,16,27,162,0,30,6.0,28,590,0,60,21.1,5639
31,Buffalo Bills,16,24,213,0,40,8.9,32,640,0,29,20.0,5956
32,Tampa Bay Buccaneers,16,20,192,0,44,9.6,20,432,0,50,21.6,6679
